Biological_String,CL_Code
B-1a B cell,CL:0000820
B-1b B cell,CL:0000821
B-2 B cell,CL:0000822
immature natural killer cell,CL:0000823
mature natural killer cell,CL:0000824
pro-NK cell,CL:0000825
pro-B cell,CL:0000826
pro-T cell,CL:0000827
thromboblast,CL:0000828
basophilic myeloblast,CL:0000829
basophilic promyelocyte,CL:0000830
mast cell progenitor,CL:0000831
eosinophilic myeloblast,CL:0000832
eosinophilic promyelocyte,CL:0000833
neutrophil progenitor cell,CL:0000834
myeloblast,CL:0000835
promyelocyte,CL:0000836
hematopoietic multipotent progenitor cell,CL:0000837
lymphoid lineage restricted progenitor cell,CL:0000838
myeloid lineage restricted progenitor cell,CL:0000839
immature conventional dendritic cell,CL:0000840
mature conventional dendritic cell,CL:0000841
mononuclear leukocyte,CL:0000842
follicular B cell,CL:0000843
germinal center B cell,CL:0000844
marginal zone B cell of spleen,CL:0000845
vestibular dark cell,CL:0000846
ciliated olfactory receptor neuron,CL:0000847
microvillous olfactory receptor neuron,CL:0000848
crypt olfactory receptor neuron,CL:0000849
serotonergic neuron,CL:0000850
neuromast mantle cell,CL:0000851
neuromast supporting cell,CL:0000852
olfactory epithelial supporting cell,CL:0000853
interneuromast cell,CL:0000854
sensory hair cell,CL:0000855
neuromast hair cell,CL:0000856
slow muscle myoblast,CL:0000857
fast muscle myoblast,CL:0000858
classical monocyte,CL:0000860
elicited macrophage,CL:0000861
suppressor macrophage,CL:0000862
M1 macrophage,CL:0000863
tissue-resident macrophage,CL:0000864
gastrointestinal tract (lamina propria) macrophage,CL:0000865
thymic macrophage,CL:0000866
secondary lymphoid organ macrophage,CL:0000867
lymph node macrophage,CL:0000868
tonsillar macrophage,CL:0000869
Peyer's patch macrophage,CL:0000870
splenic macrophage,CL:0000871
splenic marginal zone macrophage,CL:0000872
splenic metallophillic macrophage,CL:0000873
splenic red pulp macrophage,CL:0000874
non-classical monocyte,CL:0000875
splenic white pulp macrophage,CL:0000876
splenic tingible body macrophage,CL:0000877
central nervous system macrophage,CL:0000878
meningeal macrophage,CL:0000879
choroid plexus macrophage,CL:0000880
perivascular macrophage,CL:0000881
thymic medullary macrophage,CL:0000882
thymic cortical macrophage,CL:0000883
mucosa-associated lymphoid tissue macrophage,CL:0000884
gut-associated lymphoid tissue macrophage,CL:0000885
nasal and broncial associated lymphoid tissue macrophage,CL:0000886
lymph node subcapsular sinus macrophage,CL:0000887
lymph node tingible body macrophage,CL:0000888
myeloid suppressor cell,CL:0000889
M2 macrophage,CL:0000890
foam cell,CL:0000891
smooth muscle cell derived foam cell,CL:0000892
thymocyte,CL:0000893
DN1 thymic pro-T cell,CL:0000894
"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895
"activated CD4-positive, alpha-beta T cell",CL:0000896
"CD4-positive, alpha-beta memory T cell",CL:0000897
naive T cell,CL:0000898
T-helper 17 cell,CL:0000899
"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900
Tr1 cell,CL:0000901
induced T-regulatory cell,CL:0000902
natural T-regulatory cell,CL:0000903
"central memory CD4-positive, alpha-beta T cell",CL:0000904
"effector memory CD4-positive, alpha-beta T cell",CL:0000905
"activated CD8-positive, alpha-beta T cell",CL:0000906
"central memory CD8-positive, alpha-beta T cell",CL:0000907
"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908
"CD8-positive, alpha-beta memory T cell",CL:0000909
cytotoxic T cell,CL:0000910
effector T cell,CL:0000911
helper T cell,CL:0000912
"effector memory CD8-positive, alpha-beta T cell",CL:0000913
immature NK T cell,CL:0000914
"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915
dendritic epidermal T cell,CL:0000916
Tc1 cell,CL:0000917
Tc2 cell,CL:0000918
"CD8-positive, CD25-positive, alpha-beta regulatory T cell",CL:0000919
"CD8-positive, CD28-negative, alpha-beta regulatory T cell",CL:0000920
type I NK T cell,CL:0000921
type II NK T cell,CL:0000922
CD4-positive type I NK T cell,CL:0000923
"CD4-negative, CD8-negative type I NK T cell",CL:0000924
activated CD4-positive type I NK T cell,CL:0000925
CD4-positive type I NK T cell secreting interferon-gamma,CL:0000926
CD4-positive type I NK T cell secreting interleukin-4,CL:0000927
"activated CD4-negative, CD8-negative type I NK T cell",CL:0000928
"CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma",CL:0000929
"CD4-negative, CD8-negative type I NK T cell secreting interleukin-4",CL:0000930
activated type II NK T cell,CL:0000931
type II NK T cell secreting interferon-gamma,CL:0000932
type II NK T cell secreting interleukin-4,CL:0000933
"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934
"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CL:0000935
early lymphoid progenitor,CL:0000936
pre-natural killer cell,CL:0000937
"CD16-negative, CD56-bright natural killer cell, human",CL:0000938
"CD16-positive, CD56-dim natural killer cell, human",CL:0000939
mucosal-associated invariant T cell,CL:0000940
thymic conventional dendritic cell,CL:0000941
thymic plasmacytoid dendritic cell,CL:0000942
Be1 Cell,CL:0000943
Be2 cell,CL:0000944
lymphocyte of B lineage,CL:0000945
antibody secreting cell,CL:0000946
IgE plasma cell,CL:0000947
IgE memory B cell,CL:0000948
IgD plasmablast,CL:0000949
IgE plasmablast,CL:0000950
IgE short lived plasma cell,CL:0000951
preBCR-positive large pre-B-II cell,CL:0000952
preBCR-negative large pre-B-II cell,CL:0000953
small pre-B-II cell,CL:0000954
pre-B-II cell,CL:0000955
pre-B-I cell,CL:0000956
large pre-B-II cell,CL:0000957
T1 B cell,CL:0000958
T2 B cell,CL:0000959
T3 B cell,CL:0000960
Bm1 B cell,CL:0000961
Bm2 B cell,CL:0000962
Bm3-delta B cell,CL:0000963
Bm2' B cell,CL:0000964
Bm3 B cell,CL:0000965
Bm4 B cell,CL:0000966
Bm5 B cell,CL:0000967
Be cell,CL:0000968
regulatory B cell,CL:0000969
unswitched memory B cell,CL:0000970
IgM memory B cell,CL:0000971
class switched memory B cell,CL:0000972
IgA memory B cell,CL:0000973
long lived plasma cell,CL:0000974
short lived plasma cell,CL:0000975
IgA short lived plasma cell,CL:0000976
IgG short lived plasma cell,CL:0000977
IgM short lived plasma cell,CL:0000978
IgG memory B cell,CL:0000979
plasmablast,CL:0000980
double negative memory B cell,CL:0000981
IgG plasmablast,CL:0000982
IgM plasmablast,CL:0000983
IgA plasmablast,CL:0000984
IgG plasma cell,CL:0000985
IgM plasma cell,CL:0000986
IgA plasma cell,CL:0000987
hematopoietic cell,CL:0000988
CD11c-low plasmacytoid dendritic cell,CL:0000989
conventional dendritic cell,CL:0000990
CD11c-negative plasmacytoid dendritic cell,CL:0000991
immature CD11c-low plasmacytoid dendritic cell,CL:0000992
mature CD11c-low plasmacytoid dendritic cell,CL:0000993
immature CD11c-negative plasmacytoid dendritic cell,CL:0000994
"CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor",CL:0000995
mature CD11c-negative plasmacytoid dendritic cell,CL:0000996
immature CD8-alpha-negative CD11b-positive dendritic cell,CL:0000997
CD8-alpha-negative CD11b-negative dendritic cell,CL:0000998
CD4-positive CD11b-positive dendritic cell,CL:0000999
CD8-alpha-positive CD11b-negative dendritic cell,CL:0001000
immature CD8-alpha-negative CD11b-negative dendritic cell,CL:0001001
mature CD8-alpha-negative CD11b-negative dendritic cell,CL:0001002
mature CD8-alpha-negative CD11b-positive dendritic cell,CL:0001003
immature CD8-alpha-positive CD11b-negative dendritic cell,CL:0001004
mature CD8-alpha-positive CD11b-negative dendritic cell,CL:0001005
dermal dendritic cell,CL:0001006
interstitial dendritic cell,CL:0001007
Kit and Sca1-positive hematopoietic stem cell,CL:0001008
immature dermal dendritic cell,CL:0001009
mature dermal dendritic cell,CL:0001010
immature interstitial dendritic cell,CL:0001011
CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor,CL:0001012
mature interstitial dendritic cell,CL:0001013
CD1a-positive Langerhans cell,CL:0001014
CD8-alpha-low Langerhans cell,CL:0001015
immature CD1a-positive Langerhans cell,CL:0001016
mature CD1a-positive Langerhans cell,CL:0001017
immature CD8-alpha-low Langerhans cell,CL:0001018
CD115-positive monocyte OR common dendritic progenitor,CL:0001019
mature CD8-alpha-low Langerhans cell,CL:0001020
"CD34-positive, CD38-positive common lymphoid progenitor",CL:0001021
CD115-positive monocyte,CL:0001022
"Kit-positive, CD34-positive common myeloid progenitor",CL:0001023
"CD34-positive, CD38-negative hematopoietic stem cell",CL:0001024
"Kit-positive, Sca1-positive common lymphoid progenitor",CL:0001025
"CD34-positive, CD38-positive common myeloid progenitor",CL:0001026
CD7-negative lymphoid progenitor cell,CL:0001027
CD7-positive lymphoid progenitor cell,CL:0001028
common dendritic progenitor,CL:0001029
CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor,CL:0001030
cerebellar granule cell,CL:0001031
cortical granule cell,CL:0001032
hippocampal granule cell,CL:0001033
cell in vitro,CL:0001034
bone cell,CL:0001035
terminally differentiated osteoblast,CL:0001039
non-terminally differentiated osteoblast,CL:0001040
"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell",CL:0001041
T-helper 22 cell,CL:0001042
"activated CD4-positive, alpha-beta T cell, human",CL:0001043
"effector CD4-positive, alpha-beta T cell",CL:0001044
naive CCR4-positive regulatory T cell,CL:0001045
memory CCR4-positive regulatory T cell,CL:0001046
"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell",CL:0001047
"activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human",CL:0001048
"activated CD8-positive, alpha-beta T cell, human",CL:0001049
"effector CD8-positive, alpha-beta T cell",CL:0001050
"CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell",CL:0001051
"CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell",CL:0001052
IgD-negative memory B cell,CL:0001053
CD14-positive monocyte,CL:0001054
"CD14-positive, CD16-low monocyte",CL:0001055
"dendritic cell, human",CL:0001056
"myeloid dendritic cell, human",CL:0001057
"plasmacytoid dendritic cell, human",CL:0001058
"common myeloid progenitor, CD34-positive",CL:0001059
"hematopoietic oligopotent progenitor cell, lineage-negative",CL:0001060
abnormal cell,CL:0001061
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062
neoplastic cell,CL:0001063
malignant cell,CL:0001064
innate lymphoid cell,CL:0001065
"erythroid progenitor cell, mammalian",CL:0001066
group 1 innate lymphoid cell,CL:0001067
ILC1,CL:0001068
group 2 innate lymphoid cell,CL:0001069
beige adipocyte,CL:0001070
group 3 innate lymphoid cell,CL:0001071
"CD34-negative, CD117-positive innate lymphoid cell, human",CL:0001072
"CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human",CL:0001073
"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",CL:0001074
"KLRG1-positive innate lymphoid cell, human",CL:0001075
"NKp46-positive innate lymphoid cell, human",CL:0001076
"ILC1, human",CL:0001077
"group 3 innate lymphoid cell, human",CL:0001078
"NKp44-positive group 3 innate lymphoid cell, human",CL:0001079
"NKp44-negative group 3 innate lymphoid cell, human",CL:0001080
"group 2 innate lymphoid cell, human",CL:0001081
immature innate lymphoid cell,CL:0001082
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",CL:0001087
"lymphocyte of B lineage, CD19-positive",CL:0001200
"B cell, CD19-positive",CL:0001201
CD86-positive plasmablast,CL:0001202
"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203
"CD4-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001204
visual pigment cell (sensu Nematoda and Protostomia),CL:0001658
Kit-positive erythroid progenitor cell,CL:0002000
"CD34-positive, CD38-positive granulocyte monocyte progenitor",CL:0002001
Kit-positive granulocyte monocyte progenitor,CL:0002002
"CD34-positive, GlyA-negative erythroid progenitor cell",CL:0002003
"CD34-negative, GlyA-negative proerythroblast",CL:0002004
"CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell",CL:0002005
"Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell",CL:0002006
"Kit-low, CD34-positive eosinophil progenitor cell",CL:0002007
"CD34-positive, CD38-positive eosinophil progenitor cell",CL:0002008
macrophage dendritic cell progenitor,CL:0002009
pre-conventional dendritic cell,CL:0002010
Kit-positive macrophage dendritic cell progenitor,CL:0002011
Kit-low proerythroblast,CL:0002012
GlyA-positive basophilic erythroblast,CL:0002013
"Kit-negative, Ly-76 high basophilic erythroblast",CL:0002014
"Kit-negative, Ly-76 high polychromatophilic erythroblast",CL:0002015
"CD71-low, GlyA-positive polychromatic erythroblast",CL:0002016
"Kit-negative, Ly-76 high orthochromatophilic erythroblasts",CL:0002017
"CD71-negative, GlyA-positive orthochromatic erythroblast",CL:0002018
Ly-76 high reticulocyte,CL:0002019
GlyA-positive reticulocytes,CL:0002020
GlyA-positive erythrocyte,CL:0002021
Ly-76 high positive erythrocyte,CL:0002022
"CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell",CL:0002023
Kit-positive megakaryocyte progenitor cell,CL:0002024
"CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell",CL:0002025
"CD34-negative, CD41-positive, CD42-positive megakaryocyte cell",CL:0002026
"CD9-positive, CD41-positive megakaryocyte cell",CL:0002027
basophil mast progenitor cell,CL:0002028
Fc-epsilon RIalpha-low mast cell progenitor,CL:0002029
Fc-epsilon RIalpha-high basophil progenitor cell,CL:0002030
hematopoietic lineage restricted progenitor cell,CL:0002031
hematopoietic oligopotent progenitor cell,CL:0002032
short term hematopoietic stem cell,CL:0002033
long term hematopoietic stem cell,CL:0002034
Slamf1-negative multipotent progenitor cell,CL:0002035
Slamf1-positive multipotent progenitor cell,CL:0002036
"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell",CL:0002037
T follicular helper cell,CL:0002038
"immature NK T cell stage I, mouse",CL:0002039
"immature NK T cell stage II, mouse",CL:0002040
"immature NK T cell stage III, mouse",CL:0002041
"immature NK T cell stage IV, mouse",CL:0002042
"CD34-positive, CD38-negative multipotent progenitor cell",CL:0002043
"Kit-positive, integrin beta7-high basophil mast progenitor cell",CL:0002044
fraction A pre-pro B cell,CL:0002045
early pro-B cell,CL:0002046
fraction B precursor B cell,CL:0002047
late pro-B cell,CL:0002048
fraction C precursor B cell,CL:0002049
fraction C' precursor B cell,CL:0002050
CD38-high pre-BCR positive cell,CL:0002051
fraction D precursor B cell,CL:0002052
"CD22-positive, CD38-low small pre-B cell",CL:0002053
fraction E immature B cell,CL:0002054
CD38-negative immature B cell,CL:0002055
fraction F mature B cell,CL:0002056
"CD14-positive, CD16-negative classical monocyte",CL:0002057
Gr1-low non-classical monocyte,CL:0002058
CD8-alpha-positive thymic conventional dendritic cell,CL:0002059
melanophage,CL:0002060
T-helper 9 cell,CL:0002061
pulmonary alveolar type 1 cell,CL:0002062
pulmonary alveolar type 2 cell,CL:0002063
pancreatic acinar cell,CL:0002064
Feyrter cell,CL:0002066
type A enteroendocrine cell,CL:0002067
Purkinje myocyte,CL:0002068
type II vestibular sensory cell,CL:0002069
type I vestibular sensory cell,CL:0002070
enterocyte of epithelium of large intestine,CL:0002071
nodal myocyte,CL:0002072
transitional myocyte,CL:0002073
myocardial endocrine cell,CL:0002074
brush cell of tracheobronchial tree,CL:0002075
endo-epithelial cell,CL:0002076
ecto-epithelial cell,CL:0002077
meso-epithelial cell,CL:0002078
pancreatic ductal cell,CL:0002079
pancreatic centro-acinar cell,CL:0002080
type II cell of carotid body,CL:0002081
type II cell of adrenal medulla,CL:0002082
type I cell of adrenal medulla,CL:0002083
Boettcher cell,CL:0002084
tanycyte,CL:0002085
specialized cardiac myocyte,CL:0002086
nongranular leukocyte,CL:0002087
interstitial cell of Cajal,CL:0002088
"group 2 innate lymphoid cell, mouse",CL:0002089
polar body,CL:0002090
primary polar body,CL:0002091
bone marrow cell,CL:0002092
secondary polar body,CL:0002093
interstitial cell of ovary,CL:0002094
hilus cell of ovary,CL:0002095
internodal tract myocyte,CL:0002096
cortical cell of adrenal gland,CL:0002097
regular cardiac myocyte,CL:0002098
type I cell of adrenal cortex,CL:0002099
regular interventricular cardiac myocyte,CL:0002100
CD38-positive naive B cell,CL:0002101
CD38-negative naive B cell,CL:0002102
IgG-positive double negative memory B cell,CL:0002103
IgG-negative double negative memory B cell,CL:0002104
CD38-positive IgG memory B cell,CL:0002105
IgD-positive CD38-positive IgG memory B cell,CL:0002106
IgD-negative CD38-positive IgG memory B cell,CL:0002107
CD38-negative IgG memory B cell,CL:0002108
B220-positive CD38-positive naive B cell,CL:0002109
B220-low CD38-positive naive B cell,CL:0002110
CD38-negative unswitched memory B cell,CL:0002111
B220-positive CD38-negative unswitched memory B cell,CL:0002112
B220-low CD38-negative unswitched memory B cell,CL:0002113
CD38-positive unswitched memory B cell,CL:0002114
B220-positive CD38-positive unswitched memory B cell,CL:0002115
B220-low CD38-positive unswitched memory B cell,CL:0002116
IgG-negative class switched memory B cell,CL:0002117
CD38-negative IgG-negative class switched memory B cell,CL:0002118
CD38-positive IgG-negative class switched memory B cell,CL:0002119
CD24-positive CD38-negative IgG-negative class switched memory B cell,CL:0002120
CD24-negative CD38-negative IgG-negative class switched memory B cell,CL:0002121
B220-positive CD38-positive IgG-negative class switched memory B cell,CL:0002122
B220-low CD38-positive IgG-negative class switched memory B cell,CL:0002123
CD27-positive gamma-delta T cell,CL:0002124
CD27-negative gamma-delta T cell,CL:0002125
"CD25-positive, CD27-positive immature gamma-delta T cell",CL:0002126
innate effector T cell,CL:0002127
Tc17 cell,CL:0002128
regular atrial cardiac myocyte,CL:0002129
regular interatrial cardiac myocyte,CL:0002130
regular ventricular cardiac myocyte,CL:0002131
stromal cell of ovary,CL:0002132
stromal cell of ovarian cortex,CL:0002133
stromal cell of ovarian medulla,CL:0002134
nonkeratinized cell of epidermis,CL:0002135
type II cell of adrenal cortex,CL:0002136
type III cell of adrenal cortex,CL:0002137
endothelial cell of lymphatic vessel,CL:0002138
endothelial cell of vascular tree,CL:0002139
skin sebocyte,CL:0002140
active chief cell of parathyroid gland,CL:0002141
dark cell of eccrine sweat gland,CL:0002142
dark chief cell of parathyroid gland,CL:0002143
capillary endothelial cell,CL:0002144
multiciliated columnar cell of tracheobronchial tree,CL:0002145
clear cell of eccrine sweat gland,CL:0002146
clear chief cell of parathyroid gland,CL:0002147
dental pulp cell,CL:0002148
epithelial cell of uterus,CL:0002149
epithelioid macrophage,CL:0002150
late promyelocyte,CL:0002151
columnar cell of endocervix,CL:0002152
corneocyte,CL:0002153
early promyelocyte,CL:0002154
echinocyte,CL:0002155
endosteal cell,CL:0002157
external epithelial cell of tympanic membrane,CL:0002158
general ecto-epithelial cell,CL:0002159
basal external epithelial cell of tympanic membrane,CL:0002160
superficial external epithelial cell of tympanic membrane,CL:0002161
internal epithelial cell of tympanic membrane,CL:0002162
internal pillar cell of cochlea,CL:0002163
external pillar cell of cochlea,CL:0002164
phalangeal cell,CL:0002165
epithelial cell of Malassez,CL:0002166
olfactory epithelial cell,CL:0002167
border cell of cochlea,CL:0002168
basal cell of olfactory epithelium,CL:0002169
keratinized cell of the oral mucosa,CL:0002170
globose cell of olfactory epithelium,CL:0002171
interdental cell of cochlea,CL:0002172
extraglomerular mesangial cell,CL:0002173
follicular cell of ovary,CL:0002174
primary follicular cell of ovary,CL:0002175
secondary follicular cell of ovary,CL:0002176
folliculostellate cell of pars distalis of adenohypophysis,CL:0002177
epithelial cell of stomach,CL:0002178
foveolar cell of stomach,CL:0002179
mucous cell of stomach,CL:0002180
mucous neck cell of gastric gland,CL:0002181
obsolete surface mucosal cell of stomach,CL:0002182
stem cell of gastric gland,CL:0002183
basal proper cell of olfactory epithelium,CL:0002184
basal cell of epidermis,CL:0002187
glomerular endothelial cell,CL:0002188
granular cell of epidermis,CL:0002189
squamous cell of epidermis,CL:0002190
granulocytopoietic cell,CL:0002191
metamyelocyte,CL:0002192
myelocyte,CL:0002193
monopoietic cell,CL:0002194
hepatic stem cell,CL:0002195
hepatic oval stem cell,CL:0002196
inactive chief cell of parathyoid gland,CL:0002197
oncocyte,CL:0002198
oxyphil cell of parathyroid gland,CL:0002199
oxyphil cell of thyroid,CL:0002200
renal beta-intercalated cell,CL:0002201
epithelial cell of tracheobronchial tree,CL:0002202
tuft cell of large intestine,CL:0002203
tuft cell,CL:0002204
brush cell of lobular bronchiole,CL:0002205
brush cell of terminal bronchiole,CL:0002206
brush cell of trachea,CL:0002207
brush cell of bronchus,CL:0002208
intermediate epitheliocyte,CL:0002209
red muscle cell,CL:0002210
type I muscle cell,CL:0002211
type II muscle cell,CL:0002212
white muscle cell,CL:0002213
type IIa muscle cell,CL:0002214
type IIb muscle cell,CL:0002215
intermediate muscle cell,CL:0002216
intermediate trophoblast cell,CL:0002217
immature dendritic epithelial T cell precursor,CL:0002218
anchoring trophoblast,CL:0002219
interstitial cell of pineal gland,CL:0002220
keratinized squamous cell of esophagus,CL:0002221
vertebrate lens cell,CL:0002222
anterior lens cell,CL:0002223
lens epithelial cell,CL:0002224
secondary lens fiber,CL:0002225
non-nucleated secondary lens fiber,CL:0002226
nucleated secondary lens fiber,CL:0002227
primary lens fiber,CL:0002228
light chief cell of parathyroid gland,CL:0002229
epithelial cell of prostate,CL:0002231
epithelial cell of prostatic duct,CL:0002232
epithelial cell of prostatic acinus,CL:0002233
basal cell of prostatic acinus,CL:0002234
luminal cell of prostatic acinus,CL:0002235
basal epithelial cell of prostatic duct,CL:0002236
luminal epithelial cell of prostatic duct,CL:0002237
male gonocyte,CL:0002238
ooblast,CL:0002239
marrow fibroblast,CL:0002240
pulmonary interstitial fibroblast,CL:0002241
nucleate cell,CL:0002242
smooth muscle cell of sphincter of pupil,CL:0002243
squamous cell of ectocervix,CL:0002244
obsolete null lymphocyte,CL:0002245
peripheral blood stem cell,CL:0002246
pleural macrophage,CL:0002247
pluripotent stem cell,CL:0002248
primitive cardiac myocyte,CL:0002249
intestinal crypt stem cell,CL:0002250
epithelial cell of alimentary canal,CL:0002251
epithelial cell of esophagus,CL:0002252
epithelial cell of large intestine,CL:0002253
epithelial cell of small intestine,CL:0002254
stromal cell of endometrium,CL:0002255
supporting cell of carotid body,CL:0002256
epithelial cell of thyroid gland,CL:0002257
thyroid follicular cell,CL:0002258
neuroepithelial stem cell,CL:0002259
epithelial cell of parathyroid gland,CL:0002260
endothelial cell of viscerocranial mucosa,CL:0002261
endothelial cell of sinusoid,CL:0002262
transitional cell of parathyroid gland,CL:0002263
type A cell of stomach,CL:0002264
type D cell of colon,CL:0002265
type D cell of small intestine,CL:0002266
type D cell of stomach,CL:0002267
P/D1 enteroendocrine cell,CL:0002268
vasoactive intestinal peptide secreting cell,CL:0002269
type EC2 enteroendocrine cell,CL:0002270
type EC1 enteroendocrine cell,CL:0002271
motilin secreting cell,CL:0002272
type ECL enteroendocrine cell,CL:0002273
histamine secreting cell,CL:0002274
pancreatic PP cell,CL:0002275
obsolete PP cell of pancreatic acinus,CL:0002276
type I enteroendocrine cell,CL:0002277
GIP cell,CL:0002278
type L enteroendocrine cell,CL:0002279
type N enteroendocrine cell,CL:0002280
type S enteroendocrine cell,CL:0002281
type TG enteroendocrine cell,CL:0002282
ecto-epithelial cell of viscerocranial mucosa,CL:0002283
type X enteroendocrine cell,CL:0002284
type III taste bud cell,CL:0002285
type II taste cell,CL:0002286
type IV taste receptor cell,CL:0002287
type V taste receptor cell,CL:0002288
type I taste bud cell,CL:0002289
Y chromosome-bearing sperm cell,CL:0002290
X chromosome-bearing sperm cell,CL:0002291
type I cell of carotid body,CL:0002292
epithelial cell of thymus,CL:0002293
type-1 epithelial cell of thymus,CL:0002294
type-6 epithelial cell of thymus,CL:0002295
type-4 epithelial cell of thymus,CL:0002296
type-3 epithelial cell of thymus,CL:0002297
type-5 epithelial cell of thymus,CL:0002298
type-2 epithelial cell of thymus,CL:0002299
type-7 epithelial cell of thymus,CL:0002300
type B synovial cell,CL:0002301
type A synovial cell,CL:0002302
pigmented ciliary epithelial cell,CL:0002303
non-pigmented ciliary epithelial cell,CL:0002304
epithelial cell of distal tubule,CL:0002305
epithelial cell of proximal tubule,CL:0002306
brush border cell of the proximal tubule,CL:0002307
epithelial cell of skin gland,CL:0002308
corticotroph,CL:0002309
mammosomatotroph,CL:0002310
mammotroph,CL:0002311
somatotroph,CL:0002312
endocrine-paracrine cell of prostate gland,CL:0002313
external supporting cell of vestibular epithelium,CL:0002314
supporting cell of cochlea,CL:0002315
supporting cell of vestibular epithelium,CL:0002316
external limiting cell of vestibular epithelium,CL:0002317
peripheral blood mesothelial cell,CL:0002318
neural cell,CL:0002319
connective tissue cell,CL:0002320
embryonic cell (metazoa),CL:0002321
embryonic stem cell,CL:0002322
amniocyte,CL:0002323
basal-myoepithelial cell of mammary gland,CL:0002324
lactocyte,CL:0002325
luminal epithelial cell of mammary gland,CL:0002326
mammary gland epithelial cell,CL:0002327
bronchial epithelial cell,CL:0002328
basal epithelial cell of tracheobronchial tree,CL:0002329
undifferentiated cell of bronchus epithelium,CL:0002330
multiciliated epithelial cell of the bronchus,CL:0002332
neural crest derived adipocyte,CL:0002333
preadipocyte,CL:0002334
brown preadipocyte,CL:0002335
buccal mucosa cell,CL:0002336
keratinocyte stem cell,CL:0002337
"CD56-positive, CD161-positive immature natural killer cell, human",CL:0002338
prostate stem cell,CL:0002339
luminal cell of prostate epithelium,CL:0002340
basal cell of prostate epithelium,CL:0002341
circulating endothelial cell,CL:0002342
"decidual natural killer cell, human",CL:0002343
"CD56-negative, CD161-positive immature natural killer cell, human",CL:0002344
"CD27-low, CD11b-low immature natural killer cell, mouse",CL:0002345
"Dx5-negative, NK1.1-positive immature natural killer cell, mouse",CL:0002346
"CD27-high, CD11b-high natural killer cell, mouse",CL:0002347
"CD27-low, CD11b-high natural killer cell, mouse",CL:0002348
"CD27-high, CD11b-low natural killer cell, mouse",CL:0002349
endocardial cell,CL:0002350
progenitor cell of endocrine pancreas,CL:0002351
gestational hematopoietic stem cell,CL:0002352
fetal liver hematopoietic progenitor cell,CL:0002353
yolk sac hematopoietic stem cell,CL:0002354
primitive red blood cell,CL:0002355
primitive reticulocyte,CL:0002356
fetal derived definitive erythrocyte,CL:0002357
pyrenocyte,CL:0002358
placental hematopoietic stem cell,CL:0002359
AGM hematopoietic stem cell,CL:0002360
primitive erythroid progenitor,CL:0002361
cerebellar granule cell precursor,CL:0002362
keratocyte,CL:0002363
cortical thymic epithelial cell,CL:0002364
medullary thymic epithelial cell,CL:0002365
myometrial cell,CL:0002366
trabecular meshwork cell,CL:0002367
respiratory tract epithelial cell,CL:0002368
fungal spore,CL:0002369
respiratory tract goblet cell,CL:0002370
obsolete somatic cell,CL:0002371
myotube,CL:0002372
growth hormone releasing hormone secreting cell,CL:0002373
ear hair cell,CL:0002374
Schwann cell precursor,CL:0002375
non-myelinating Schwann cell,CL:0002376
immature Schwann cell,CL:0002377
immature Vgamma2-positive fetal thymocyte,CL:0002378
meningothelial cell,CL:0002379
oospore,CL:0002380
uninucleate conidium,CL:0002381
multinucleate conidium,CL:0002382
conidium of conidiophore head,CL:0002383
uninucleate macroconidium,CL:0002384
blastoconidium,CL:0002385
multinucleate macroconidium,CL:0002386
arthroconidium,CL:0002387
multinucleate arthroconidium,CL:0002388
uninucleate arthroconidium,CL:0002389
uninucleate blastconidium,CL:0002390
multinucleate blastoconidium,CL:0002391
obsolete plant spore,CL:0002392
intermediate monocyte,CL:0002393
CD141-positive myeloid dendritic cell,CL:0002394
Gr1-high classical monocyte,CL:0002395
"CD14-low, CD16-positive monocyte",CL:0002396
"CD14-positive, CD16-positive monocyte",CL:0002397
